Client,i,Factorial
127.0.0.1:42697,18,6402373705728000
127.0.0.1:47817,18,6402373705728000
127.0.0.1:42185,17,355687428096000
127.0.0.1:50889,16,20922789888000
127.0.0.1:51401,15,1307674368000
127.0.0.1:29385,14,87178291200
127.0.0.1:37064,13,6227020800
127.0.0.1:30409,12,479001600
127.0.0.1:29897,11,39916800
127.0.0.1:9418,10,3628800
127.0.0.1:46315,9,362880
127.0.0.1:13514,8,40320
127.0.0.1:13002,7,5040
127.0.0.1:23242,6,720
127.0.0.1:36042,5,120
127.0.0.1:22218,4,24
127.0.0.1:19146,3,6
127.0.0.1:24266,2,2
127.0.0.1:35530,1,1
127.0.0.1:28873,20,2432902008176640000
127.0.0.1:36552,20,2432902008176640000
127.0.0.1:15049,20,2432902008176640000
127.0.0.1:37576,20,2432902008176640000
127.0.0.1:41673,19,121645100408832000
127.0.0.1:42697,19,121645100408832000
127.0.0.1:47817,19,121645100408832000
127.0.0.1:42185,18,6402373705728000
127.0.0.1:50889,17,355687428096000
127.0.0.1:51401,16,20922789888000
127.0.0.1:29385,15,1307674368000
127.0.0.1:37064,14,87178291200
127.0.0.1:30409,13,6227020800
127.0.0.1:29897,12,479001600
127.0.0.1:9418,11,39916800
127.0.0.1:46315,10,3628800
127.0.0.1:13514,9,362880
127.0.0.1:13002,8,40320
127.0.0.1:23242,7,5040
127.0.0.1:36042,6,720
127.0.0.1:22218,5,120
127.0.0.1:19146,4,24
127.0.0.1:24266,3,6
127.0.0.1:35530,2,2
127.0.0.1:34506,1,1
127.0.0.1:41673,20,2432902008176640000
127.0.0.1:42697,20,2432902008176640000
127.0.0.1:47817,20,2432902008176640000
127.0.0.1:42185,19,121645100408832000
127.0.0.1:50889,18,6402373705728000
127.0.0.1:51401,17,355687428096000
127.0.0.1:29385,16,20922789888000
127.0.0.1:37064,15,1307674368000
127.0.0.1:30409,14,87178291200
127.0.0.1:29897,13,6227020800
127.0.0.1:9418,12,479001600
127.0.0.1:46315,11,39916800
127.0.0.1:13514,10,3628800
127.0.0.1:13002,9,362880
127.0.0.1:23242,8,40320
127.0.0.1:36042,7,5040
127.0.0.1:22218,6,720
127.0.0.1:19146,5,120
127.0.0.1:24266,4,24
127.0.0.1:35530,3,6
127.0.0.1:34506,2,2
127.0.0.1:26826,1,1
127.0.0.1:42185,20,2432902008176640000
127.0.0.1:50889,19,121645100408832000
127.0.0.1:51401,18,6402373705728000
127.0.0.1:29385,17,355687428096000
127.0.0.1:37064,16,20922789888000
127.0.0.1:30409,15,1307674368000
127.0.0.1:29897,14,87178291200
127.0.0.1:9418,13,6227020800
127.0.0.1:46315,12,479001600
127.0.0.1:13514,11,39916800
127.0.0.1:13002,10,3628800
127.0.0.1:23242,9,362880
127.0.0.1:36042,8,40320
127.0.0.1:22218,7,5040
127.0.0.1:19146,6,720
127.0.0.1:24266,5,120
127.0.0.1:35530,4,24
127.0.0.1:34506,3,6
127.0.0.1:26826,2,2
127.0.0.1:41674,1,1
127.0.0.1:50889,20,2432902008176640000
127.0.0.1:51401,19,121645100408832000
127.0.0.1:29385,18,6402373705728000
127.0.0.1:37064,17,355687428096000
127.0.0.1:30409,16,20922789888000
127.0.0.1:29897,15,1307674368000
127.0.0.1:9418,14,87178291200
127.0.0.1:46315,13,6227020800
127.0.0.1:13514,12,479001600
127.0.0.1:13002,11,39916800
127.0.0.1:23242,10,3628800
127.0.0.1:36042,9,362880
127.0.0.1:22218,8,40320
