Client,i,Factorial
127.0.0.1:5299,2,2
127.0.0.1:30390,3,6
127.0.0.1:29877,3,6
127.0.0.1:32982,3,6
127.0.0.1:51895,2,2
127.0.0.1:20612,2,2
127.0.0.1:26803,4,24
127.0.0.1:31920,2,2
127.0.0.1:21636,2,2
127.0.0.1:64689,2,2
127.0.0.1:6836,2,2
127.0.0.1:61617,5,120
127.0.0.1:59056,2,2
127.0.0.1:56498,2,2
127.0.0.1:58035,2,2
127.0.0.1:59060,2,2
127.0.0.1:23217,3,6
127.0.0.1:42193,4,24
127.0.0.1:19635,5,120
127.0.0.1:26803,5,120
127.0.0.1:41649,6,720
127.0.0.1:29877,4,24
127.0.0.1:25781,5,120
127.0.0.1:1234,6,720
127.0.0.1:11446,3,6
127.0.0.1:52917,4,24
127.0.0.1:3713,5,120
127.0.0.1:50871,4,24
127.0.0.1:33459,5,120
127.0.0.1:58035,3,6
127.0.0.1:6836,3,6
127.0.0.1:59056,3,6
127.0.0.1:48817,5,120
127.0.0.1:57522,6,720
127.0.0.1:19125,5,120
127.0.0.1:51378,3,6
127.0.0.1:60596,4,24
127.0.0.1:32432,4,24
127.0.0.1:64689,3,6
127.0.0.1:36022,4,24
127.0.0.1:48305,3,6
127.0.0.1:7862,3,6
127.0.0.1:63154,6,720
127.0.0.1:18614,4,24
127.0.0.1:26290,6,720
127.0.0.1:27831,4,24
127.0.0.1:12956,4,24
127.0.0.1:63668,3,6
127.0.0.1:22199,4,24
127.0.0.1:23222,3,6
127.0.0.1:52916,3,6
127.0.0.1:39604,4,24
127.0.0.1:12979,3,6
127.0.0.1:21172,3,6
127.0.0.1:47280,4,24
127.0.0.1:9912,3,6
127.0.0.1:62642,6,720
127.0.0.1:61617,6,720
127.0.0.1:21169,6,720
127.0.0.1:3251,3,6
127.0.0.1:28337,3,6
127.0.0.1:64182,3,6
127.0.0.1:15543,4,24
127.0.0.1:41169,5,120
127.0.0.1:40627,3,6
127.0.0.1:59060,3,6
127.0.0.1:56497,3,6
127.0.0.1:62130,5,120
127.0.0.1:178,4,24
127.0.0.1:54965,5,120
127.0.0.1:45746,3,6
127.0.0.1:56498,3,6
127.0.0.1:20657,7,5040
127.0.0.1:37047,4,24
127.0.0.1:46775,4,24
127.0.0.1:23733,5,120
127.0.0.1:31920,3,6
127.0.0.1:23787,5,120
127.0.0.1:47792,3,6
127.0.0.1:38067,5,120
127.0.0.1:30390,4,24
127.0.0.1:34997,3,6
127.0.0.1:54964,3,6
127.0.0.1:28338,6,720
127.0.0.1:37557,5,120
127.0.0.1:65201,3,6
127.0.0.1:6840,3,6
127.0.0.1:48307,3,6
127.0.0.1:57009,6,720
127.0.0.1:42164,5,120
127.0.0.1:64180,3,6
127.0.0.1:34485,3,6
127.0.0.1:63669,4,24
127.0.0.1:33460,3,6
127.0.0.1:64693,3,6
127.0.0.1:46258,6,720
127.0.0.1:35509,4,24
127.0.0.1:32946,3,6
127.0.0.1:11445,5,120
127.0.0.1:47793,7,5040
127.0.0.1:16053,5,120
127.0.0.1:60597,3,6
127.0.0.1:52458,3,6
127.0.0.1:34999,3,6
127.0.0.1:37078,4,24
127.0.0.1:43189,4,24
127.0.0.1:10418,5,120
127.0.0.1:3256,3,6
127.0.0.1:23219,6,720
127.0.0.1:28337,4,24
127.0.0.1:11953,3,6
127.0.0.1:58039,4,24
127.0.0.1:60596,5,120
127.0.0.1:20612,3,6
127.0.0.1:1208,4,24
127.0.0.1:32982,4,24
127.0.0.1:61618,3,6
127.0.0.1:9963,3,6
127.0.0.1:62647,4,24
127.0.0.1:15542,3,6
127.0.0.1:41652,5,120
127.0.0.1:41169,6,720
127.0.0.1:42193,5,120
127.0.0.1:5299,3,6
127.0.0.1:42676,5,120
127.0.0.1:40631,4,24
127.0.0.1:58544,5,120
127.0.0.1:12465,4,24
127.0.0.1:33969,4,24
127.0.0.1:32470,3,6
127.0.0.1:64182,4,24
127.0.0.1:23217,4,24
127.0.0.1:56498,4,24
127.0.0.1:52916,4,24
127.0.0.1:15541,5,120
127.0.0.1:18614,5,120
127.0.0.1:23222,4,24
127.0.0.1:21636,3,6
127.0.0.1:64694,4,24
127.0.0.1:56502,4,24
127.0.0.1:56534,5,120
